Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Loc_min;Loc_max;Sup_NL_loc
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;21;Abitazioni di tipo economico;OTTIMO; ;13;19;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;21;Abitazioni di tipo economico;NORMALE;P;9,5;12,9;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;13;Box;NORMALE;P;8,5;13,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;9;Magazzini;NORMALE;P;3,6;6;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;5;Negozi;OTTIMO;P;29,4;45;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;5;Negozi;NORMALE; ;13,6;19,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;6;Uffici;OTTIMO;P;14;21;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;18;Uffici strutturati;OTTIMO;P;19,5;27;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;8;Capannoni industriali;NORMALE;P;5;7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;7;Capannoni tipici;NORMALE;P;5;7;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C12;MI00000307;10;Laboratori;NORMALE;P;7;9,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;20;Abitazioni civili;OTTIMO;P;21;32;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;19;Abitazioni signorili;OTTIMO;P;32;37,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C13;MI00003667;13;Box;NORMALE;P;9;12,5;L
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;C14;MI00003668;20;Abitazioni civili;NORMALE; ;12;19;L
